callsign,country,velocity,altitude,temperature,wind_speed,timestamp,delay_label
N680EA,United States,242.85,13716.0,12.3,2.06,2025-04-15T02:38:15,0
GJS4462,United States,202.28,9715.5,12.3,2.06,2025-04-15T02:38:16,0
IGO243,India,132.57,2712.72,12.3,2.06,2025-04-15T02:38:16,1
JST296,Australia,67.35,-15.24,12.3,2.06,2025-04-15T02:37:42,2
JST236,Australia,230.92,10652.76,12.3,2.06,2025-04-15T02:38:15,0
N35339,United States,26.56,152.4,12.3,2.06,2025-04-15T02:38:16,2
AAL2290,United States,221.49,9144.0,12.3,2.06,2025-04-15T02:38:16,0
KWF,Australia,58.21,1005.84,12.3,2.06,2025-04-15T02:38:16,2
ASA64,United States,170.98,4419.6,12.3,2.06,2025-04-15T02:38:15,1
ENY3918,United States,84.02,1272.54,12.3,2.06,2025-04-15T02:38:15,2
IGO201,India,211.49,10980.42,12.3,2.06,2025-04-15T02:38:15,0
JST840,Australia,257.91,10370.82,12.3,2.06,2025-04-15T02:38:15,0
JAL3510,Japan,208.22,11574.78,12.3,2.06,2025-04-15T02:38:16,0
IGO235C,India,85.44,1120.14,12.3,2.06,2025-04-15T02:38:14,2
MXY721,United States,239.45,11277.6,12.3,2.06,2025-04-15T02:38:16,0
VXP1170,United States,220.43,10043.16,12.3,2.06,2025-04-15T02:38:16,0
UAL1631,United States,176.68,8915.4,12.3,2.06,2025-04-15T02:38:16,1
UAL1390,United States,264.42,10660.38,12.3,2.06,2025-04-15T02:38:16,0
UAL2226,United States,222.01,10972.8,12.3,2.06,2025-04-15T02:38:15,0
JIO,Australia,32.2,822.96,12.3,2.06,2025-04-15T02:38:16,2
N56FS,United States,164.67,4107.18,12.3,2.06,2025-04-15T02:38:15,1
AAL1336,United States,267.36,11269.98,12.3,2.06,2025-04-15T02:38:16,0
SWA3816,United States,135.3,1470.66,12.3,2.06,2025-04-15T02:38:15,1
UPS242,United States,217.67,10066.02,12.3,2.06,2025-04-15T02:38:15,0
SWA516,United States,169.62,5135.88,12.3,2.06,2025-04-15T02:38:15,1
EZY18DE,United Kingdom,233.86,11590.02,12.3,2.06,2025-04-15T02:38:16,0
AKJ156U,India,266.08,9448.8,12.3,2.06,2025-04-15T02:38:15,0
DAL2948,United States,225.4,10972.8,12.3,2.06,2025-04-15T02:38:16,0
UPS1273,United States,272.75,8229.6,12.3,2.06,2025-04-15T02:38:15,0
EDV5481,United States,0.0,0.0,12.3,2.06,2025-04-15T02:38:11,2
,Portugal,210.82,9913.62,12.3,2.06,2025-04-15T02:38:12,0
SKW4129,United States,248.56,10668.0,12.3,2.06,2025-04-15T02:38:16,0
JST220,Australia,213.9,10988.04,12.3,2.06,2025-04-15T02:38:15,0
AIC2030,India,77.86,342.9,12.3,2.06,2025-04-15T02:35:43,2
GIA564,Indonesia,229.78,9456.42,12.3,2.06,2025-04-15T02:37:54,0
AAL2281,United States,199.91,8054.34,12.3,2.06,2025-04-15T02:38:15,1
ASA357,United States,221.79,10363.2,12.3,2.06,2025-04-15T02:38:15,0
TAP088,Portugal,243.35,11277.6,12.3,2.06,2025-04-15T02:38:15,0
BLZR290,United States,6.43,0.0,12.3,2.06,2025-04-15T02:37:25,2
GLO2012,Brazil,239.94,11277.6,12.3,2.06,2025-04-15T02:37:25,0
GLO1508,Brazil,239.41,10538.46,12.3,2.06,2025-04-15T02:38:15,0
WVV,Australia,46.95,175.26,12.3,2.06,2025-04-15T02:38:15,2
JBU460,United States,244.33,10675.62,12.3,2.06,2025-04-15T02:38:16,0
DAL489,United States,260.13,7536.18,12.3,2.06,2025-04-15T02:38:16,0
AXB1095,India,208.08,7924.8,12.3,2.06,2025-04-15T02:38:14,0
N930MQ,United States,139.99,6400.8,12.3,2.06,2025-04-15T02:38:15,1
VTHLZ,India,6.19,91.44,12.3,2.06,2025-04-15T02:35:55,2
PGT741,Turkey,215.33,9753.6,12.3,2.06,2025-04-15T02:38:14,0
AZU2906,Brazil,167.39,4191.0,12.3,2.06,2025-04-15T02:38:15,1
N387CB,United States,153.94,10728.96,12.3,2.06,2025-04-15T02:38:16,1
PGT773J,Turkey,61.43,114.3,12.3,2.06,2025-04-15T02:33:55,2
AAL775,United States,251.73,10980.42,12.3,2.06,2025-04-15T02:37:52,0
EJA598,United States,1.03,0.0,12.3,2.06,2025-04-15T02:37:45,2
AXB1178,India,243.11,9631.68,12.3,2.06,2025-04-15T02:38:14,0
PGT855,Turkey,202.89,8069.58,12.3,2.06,2025-04-15T02:38:15,0
AIC2535,India,245.57,11277.6,12.3,2.06,2025-04-15T02:38:12,0
ENY3378,United States,118.04,1684.02,12.3,2.06,2025-04-15T02:35:17,1
LPE2138,Chile,179.49,4404.36,12.3,2.06,2025-04-15T02:38:16,1
DAL883,United States,155.35,3131.82,12.3,2.06,2025-04-15T02:38:15,1
TAP078,Portugal,248.53,11277.6,12.3,2.06,2025-04-15T02:38:14,0
LXJ484,United States,216.36,13106.4,12.3,2.06,2025-04-15T02:38:16,0
N3139W,United States,41.16,205.74,12.3,2.06,2025-04-15T02:34:57,2
FBZ5151,Argentina,4.12,0.0,12.3,2.06,2025-04-15T02:38:06,2
AXB1552,India,227.47,11277.6,12.3,2.06,2025-04-15T02:38:15,0
N858VK,United States,63.61,739.14,12.3,2.06,2025-04-15T02:38:15,2
SWA4050,United States,256.28,11887.2,12.3,2.06,2025-04-15T02:38:15,0
IGO767E,India,110.61,502.92,12.3,2.06,2025-04-15T02:38:15,1
DAL2683,United States,222.19,10972.8,12.3,2.06,2025-04-15T02:38:16,0
GAQV,United States,50.58,731.52,12.3,2.06,2025-04-15T02:38:15,2
HOOK42,United States,108.65,4808.22,12.3,2.06,2025-04-15T02:38:16,1
JBU1232,United States,0.0,0.0,12.3,2.06,2025-04-15T02:38:12,2
DAL3005,United States,0.51,0.0,12.3,2.06,2025-04-15T02:38:11,2
N281MW,United States,238.52,12138.66,12.3,2.06,2025-04-15T02:38:15,0
DLH693,Germany,206.0,10363.2,12.3,2.06,2025-04-15T02:38:16,0
N952CP,United States,22.94,518.16,12.3,2.06,2025-04-15T02:38:15,2
LNE1427,Chile,228.69,10668.0,12.3,2.06,2025-04-15T02:38:15,0
IGO91NP,India,224.86,9494.52,12.3,2.06,2025-04-15T02:38:15,0
SWA350,United States,216.08,8267.7,12.3,2.06,2025-04-15T02:38:15,0
HOOK52,United States,106.18,1737.36,12.3,2.06,2025-04-15T02:38:16,1
PDU53,United States,20.3,198.12,12.3,2.06,2025-04-15T02:38:15,2
SKW3864,United States,163.19,2461.26,12.3,2.06,2025-04-15T02:38:15,1
AIC2509,India,204.69,6294.12,12.3,2.06,2025-04-15T02:38:14,0
WUJ,Australia,59.73,381.0,12.3,2.06,2025-04-15T02:38:15,2
DAL1060,United States,0.0,0.0,12.3,2.06,2025-04-15T02:34:01,2
DAL720,United States,214.06,10972.8,12.3,2.06,2025-04-15T02:38:16,0
SWA2184,United States,66.88,0.0,12.3,2.06,2025-04-15T02:37:21,2
JST762,Australia,81.72,2301.24,12.3,2.06,2025-04-15T02:36:48,2
AIC2559,India,108.43,2583.18,12.3,2.06,2025-04-15T02:38:14,1
FFT3467,United States,78.63,685.8,12.3,2.06,2025-04-15T02:38:16,2
SWA3895,United States,205.66,11582.4,12.3,2.06,2025-04-15T02:38:16,0
FD525,Australia,76.7,3139.44,12.3,2.06,2025-04-15T02:18:48,2
RPA4547,United States,82.34,693.42,12.3,2.06,2025-04-15T02:38:15,2
UAL1531,United States,69.9,281.94,12.3,2.06,2025-04-15T02:37:15,2
LAN621,Chile,148.87,4480.56,12.3,2.06,2025-04-15T02:38:16,1
ANA677,Japan,164.83,4358.64,12.3,2.06,2025-04-15T02:38:15,1
WLQ,Australia,60.88,548.64,12.3,2.06,2025-04-15T02:38:16,2
FFAB123,United States,60.88,144.78,12.3,2.06,2025-04-15T02:37:59,2
AMX410,Mexico,134.6,1882.14,12.3,2.06,2025-04-15T02:38:15,1
SID9303,Brazil,199.37,10972.8,12.3,2.06,2025-04-15T02:38:16,1
ASA40,United States,219.42,10370.82,12.3,2.06,2025-04-15T02:38:16,0
ICED33,United States,55.6,2011.68,12.3,2.06,2025-04-15T02:38:15,2
RPA4369,United States,8.23,0.0,12.3,2.06,2025-04-15T02:37:58,2
AAL3007,United States,6.43,0.0,12.3,2.06,2025-04-15T02:38:05,2
UAL3922,United States,5.4,0.0,12.3,2.06,2025-04-15T02:38:14,2
DLH763,Germany,245.3,12192.0,12.3,2.06,2025-04-15T02:38:15,0
UAL1956,United States,243.68,11277.6,12.3,2.06,2025-04-15T02:38:16,0
SWR17K,Switzerland,234.71,12496.8,12.3,2.06,2025-04-15T02:38:16,0
SWR87F,Switzerland,228.18,11887.2,12.3,2.06,2025-04-15T02:38:15,0
CGXPH,Canada,44.27,274.32,12.3,2.06,2025-04-15T02:34:58,2
DLH453,Germany,271.85,11277.6,12.3,2.06,2025-04-15T02:37:38,0
DLH773,Germany,225.97,11582.4,12.3,2.06,2025-04-15T02:38:16,0
ANA1262,Japan,202.93,12192.0,12.3,2.06,2025-04-15T02:38:16,0
SWR7DW,Switzerland,295.45,11887.2,12.3,2.06,2025-04-15T02:38:16,0
AWQ266,Indonesia,124.77,1447.8,12.3,2.06,2025-04-15T02:38:16,1
SWR155,Switzerland,222.78,12192.0,12.3,2.06,2025-04-15T02:38:16,0
AWQ263,Indonesia,215.49,8785.86,12.3,2.06,2025-04-15T02:38:15,0
SWR19C,Switzerland,266.34,11285.22,12.3,2.06,2025-04-15T02:38:16,0
CBN547E,United States,74.06,1676.4,12.3,2.06,2025-04-15T02:38:15,2
SWR15X,Switzerland,244.1,11277.6,12.3,2.06,2025-04-15T02:38:15,0
SWR9G,Switzerland,238.41,10668.0,12.3,2.06,2025-04-15T02:36:41,0
SWR147,Switzerland,83.88,12192.0,12.3,2.06,2025-04-15T02:22:18,2
SWA4345,United States,102.79,541.02,12.3,2.06,2025-04-15T02:38:16,1
N545MA,United States,35.08,457.2,12.3,2.06,2025-04-15T02:33:30,2
AZU4853,Brazil,7.72,0.0,12.3,2.06,2025-04-15T02:38:16,2
JAL736,Japan,0.32,0.0,12.3,2.06,2025-04-15T02:38:08,2
CXK167,United States,81.13,746.76,12.3,2.06,2025-04-15T02:38:16,2
STGRY42,United States,70.09,594.36,12.3,2.06,2025-04-15T02:38:15,2
PGT8FU,Turkey,203.15,10370.82,12.3,2.06,2025-04-15T02:38:15,0
PGT3XH,Turkey,122.9,1638.3,12.3,2.06,2025-04-15T02:38:14,1
PGT583,Turkey,197.1,10363.2,12.3,2.06,2025-04-15T02:38:16,1
UAL1796,United States,168.53,2628.9,12.3,2.06,2025-04-15T02:38:15,1
JBU1088,United States,65.37,205.74,12.3,2.06,2025-04-15T02:35:04,2
LXJ547,United States,227.08,8915.4,12.3,2.06,2025-04-15T02:38:15,0
GZP399,Russian Federation,235.73,10668.0,12.3,2.06,2025-04-15T02:34:00,0
AIC604,India,6.17,0.0,12.3,2.06,2025-04-15T02:38:04,2
N12082,United States,36.53,1234.44,12.3,2.06,2025-04-15T02:38:15,2
AKJ577,India,142.16,4229.1,12.3,2.06,2025-04-15T02:38:16,1
JAL552,Japan,110.59,2514.6,12.3,2.06,2025-04-15T02:38:15,1
UPS1445,United States,62.4,685.8,12.3,2.06,2025-04-15T02:36:01,2
ZKTUT,New Zealand,43.59,182.88,12.3,2.06,2025-04-15T02:38:16,2
DAL2866,United States,205.93,10370.82,12.3,2.06,2025-04-15T02:38:16,0
N327TL,United States,150.56,975.36,12.3,2.06,2025-04-15T02:38:16,1
N184SD,United States,37.08,396.24,12.3,2.06,2025-04-15T02:38:15,2
WJA568,Canada,253.26,11277.6,12.3,2.06,2025-04-15T02:35:36,0
UAL1878,United States,201.76,8839.2,12.3,2.06,2025-04-15T02:38:16,0
N16058,United States,27.27,91.44,12.3,2.06,2025-04-15T02:33:42,2
JST772,Australia,76.45,579.12,12.3,2.06,2025-04-15T02:36:08,2
UAL1342,United States,238.25,10622.28,12.3,2.06,2025-04-15T02:38:16,0
EDV5394,United States,133.46,3192.78,12.3,2.06,2025-04-15T02:38:16,1
ICE12E,Iceland,243.44,7383.78,12.3,2.06,2025-04-15T02:38:16,0
ASA207,United States,128.94,2430.78,12.3,2.06,2025-04-15T02:38:16,1
HAL669,United States,206.08,10355.58,12.3,2.06,2025-04-15T02:38:15,0
JJP624,Japan,285.16,10347.96,12.3,2.06,2025-04-15T02:38:16,0
TAY3SL,Austria,245.27,11887.2,12.3,2.06,2025-04-15T02:38:16,0
DAL2715,United States,258.55,9448.8,12.3,2.06,2025-04-15T02:38:16,0
SWA3761,United States,302.21,10058.4,12.3,2.06,2025-04-15T02:38:16,0
N184SF,United States,82.22,739.14,12.3,2.06,2025-04-15T02:34:19,2
N677AM,United States,3.6,0.0,12.3,2.06,2025-04-15T02:38:16,2
AEE3K,Greece,189.71,10980.42,12.3,2.06,2025-04-15T02:37:52,1
AEE3LP,Greece,258.08,10668.0,12.3,2.06,2025-04-15T02:38:16,0
FFT4890,United States,264.07,8839.2,12.3,2.06,2025-04-15T02:38:16,0
UPS993,United States,99.34,1783.08,12.3,2.06,2025-04-15T02:38:16,2
KAY57,Germany,225.93,12192.0,12.3,2.06,2025-04-15T02:38:16,0
ANA663,Japan,3.86,0.0,12.3,2.06,2025-04-15T02:38:14,2
JBU2193,United States,226.62,10972.8,12.3,2.06,2025-04-15T02:38:16,0
N92078,United States,58.52,952.5,12.3,2.06,2025-04-15T02:38:16,2
ICE11P,Iceland,197.77,12192.0,12.3,2.06,2025-04-15T02:38:16,1
JAL15,Japan,247.02,10972.8,12.3,2.06,2025-04-15T02:38:16,0
SCX608,United States,247.92,11277.6,12.3,2.06,2025-04-15T02:38:16,0
SLI2442,Mexico,271.22,11277.6,12.3,2.06,2025-04-15T02:38:15,0
JZA698,Canada,5.14,0.0,12.3,2.06,2025-04-15T02:38:15,2
JZA999,Canada,167.03,9822.18,12.3,2.06,2025-04-15T02:38:15,1
VHJHW,Australia,63.89,792.48,12.3,2.06,2025-04-15T02:38:16,2
JAL570,Japan,116.89,1577.34,12.3,2.06,2025-04-15T02:38:16,1
WJA674,Canada,271.12,9212.58,12.3,2.06,2025-04-15T02:38:16,0
SWA1662,United States,188.49,8747.76,12.3,2.06,2025-04-15T02:38:15,1
CGBMO,Canada,65.56,701.04,12.3,2.06,2025-04-15T02:38:15,2
VOI1085,Mexico,3.34,0.0,12.3,2.06,2025-04-15T02:38:15,2
QXE2096,United States,212.04,11506.2,12.3,2.06,2025-04-15T02:38:15,0
UAL2240,United States,5.14,0.0,12.3,2.06,2025-04-15T02:33:39,2
SWA355,United States,258.86,10058.4,12.3,2.06,2025-04-15T02:38:14,0
RFNK355,United States,102.49,2407.92,12.3,2.06,2025-04-15T02:38:14,1
RPA3614,United States,244.07,7620.0,12.3,2.06,2025-04-15T02:38:13,0
UAL804,United States,157.97,1882.14,12.3,2.06,2025-04-15T02:38:15,1
PAL467,Philippines,79.51,175.26,12.3,2.06,2025-04-15T02:38:15,2
FD567,Australia,2.06,0.0,12.3,2.06,2025-04-14T23:50:10,2
TANG19,Australia,123.58,2232.66,12.3,2.06,2025-04-15T02:38:15,1
AAL1977,United States,1.03,0.0,12.3,2.06,2025-04-15T02:36:06,2
EJA164,United States,257.37,13708.38,12.3,2.06,2025-04-15T02:38:16,0
JST565,Australia,223.61,9753.6,12.3,2.06,2025-04-15T02:38:16,0
ROU1628,Canada,143.38,1767.84,12.3,2.06,2025-04-15T02:38:15,1
PE211,Australia,126.72,3649.98,12.3,2.06,2025-04-15T02:38:16,1
DAL2839,United States,228.38,11269.98,12.3,2.06,2025-04-15T02:38:16,0
JST962,Australia,160.02,11277.6,12.3,2.06,2025-04-15T01:51:49,1
N831MT,United States,249.32,12496.8,12.3,2.06,2025-04-15T02:38:15,0
WJA1400,Canada,224.0,11887.2,12.3,2.06,2025-04-15T02:38:15,0
VIPR49,Australia,69.37,182.88,12.3,2.06,2025-04-15T02:38:16,2
VIPR79,Australia,0.0,0.0,12.3,2.06,2025-04-15T02:33:43,2
AZU4092,Brazil,264.53,11216.64,12.3,2.06,2025-04-15T02:36:18,0
ANA471,Japan,0.39,0.0,12.3,2.06,2025-04-15T02:36:26,2
IGO231,India,166.43,5958.84,12.3,2.06,2025-04-15T02:38:15,1
CGBIT,Canada,54.94,1447.8,12.3,2.06,2025-04-15T02:34:54,2
VIPR14,Australia,107.21,1927.86,12.3,2.06,2025-04-15T02:38:16,1
,United States,1.8,0.0,12.3,2.06,2025-04-15T02:37:44,2
IGO241W,India,234.94,11574.78,12.3,2.06,2025-04-15T02:38:16,0
VIPR74,Australia,5.14,0.0,12.3,2.06,2025-04-15T02:35:20,2
KII435,United States,238.51,9258.3,12.3,2.06,2025-04-15T02:38:16,0
AAL1166,United States,274.09,8237.22,12.3,2.06,2025-04-15T02:38:15,0
N5314W,United States,60.46,464.82,12.3,2.06,2025-04-15T02:38:10,2
UPS1327,United States,232.7,12192.0,12.3,2.06,2025-04-15T02:38:16,0
UPS913,United States,254.06,9296.4,12.3,2.06,2025-04-15T02:38:16,0
BTK6566,Indonesia,219.62,7536.18,12.3,2.06,2025-04-15T02:37:59,0
BTK7580,Indonesia,246.34,10355.58,12.3,2.06,2025-04-15T02:38:16,0
KV4,Kingdom of the Netherlands,15.95,0.0,12.3,2.06,2025-04-15T02:38:16,2
JAL112,Japan,83.34,1249.68,12.3,2.06,2025-04-15T02:38:16,2
BTK6243,Indonesia,242.71,11582.4,12.3,2.06,2025-04-15T02:38:16,0
BLKT01,Australia,210.84,2065.02,12.3,2.06,2025-04-15T02:36:43,0
BLKT06,Australia,139.93,2438.4,12.3,2.06,2025-04-15T02:36:32,1
GTI9120,United States,235.62,11475.72,12.3,2.06,2025-04-15T02:38:16,0
N354HP,United States,62.25,1455.42,12.3,2.06,2025-04-15T02:38:15,2
DAL2435,United States,240.72,9745.98,12.3,2.06,2025-04-15T02:38:15,0
ASA128,United States,188.25,6682.74,12.3,2.06,2025-04-15T02:38:16,1
FDX6005,United States,230.99,11582.4,12.3,2.06,2025-04-15T02:38:16,0
ERU963,United States,51.3,868.68,12.3,2.06,2025-04-15T02:38:16,2
ANZ281,New Zealand,248.13,10058.4,12.3,2.06,2025-04-15T02:38:15,0
GIA716,Indonesia,256.26,0.0,12.3,2.06,2025-04-15T01:37:35,0
VIPR76,Australia,87.38,312.42,12.3,2.06,2025-04-15T02:38:14,2
LNI988,Indonesia,142.01,1394.46,12.3,2.06,2025-04-15T02:38:15,1
EDV5029,United States,206.32,10972.8,12.3,2.06,2025-04-15T02:38:16,0
TWY75,United States,158.55,3520.44,12.3,2.06,2025-04-15T02:38:16,1
ARG1250,Argentina,156.08,2872.74,12.3,2.06,2025-04-15T02:38:15,1
SEJ053,India,169.19,5280.66,12.3,2.06,2025-04-15T02:38:15,1
N28SK,United States,52.87,2545.08,12.3,2.06,2025-04-15T02:36:29,2
DAL1238,United States,231.94,10668.0,12.3,2.06,2025-04-15T02:38:15,0
SKW3571,United States,164.2,4069.08,12.3,2.06,2025-04-15T02:38:16,1
DAL903,United States,199.64,9144.0,12.3,2.06,2025-04-15T02:38:15,1
ANZ146,New Zealand,273.74,9578.34,12.3,2.06,2025-04-15T02:38:16,0
N500CE,United States,203.89,7078.98,12.3,2.06,2025-04-15T02:37:07,0
,Canada,229.08,9433.56,12.3,2.06,2025-04-15T02:38:15,0
ZKNUC,New Zealand,58.15,548.64,12.3,2.06,2025-04-15T02:38:16,2
DAL1863,United States,208.29,10370.82,12.3,2.06,2025-04-15T02:37:59,0
DAL2495,United States,1.29,0.0,12.3,2.06,2025-04-15T02:38:15,2
DAL1206,United States,77.6,274.32,12.3,2.06,2025-04-15T02:35:12,2
N924AC,United States,159.96,8229.6,12.3,2.06,2025-04-15T02:38:16,1
DAL1713,United States,201.66,10363.2,12.3,2.06,2025-04-15T02:38:15,0
UPS475,United States,196.49,11574.78,12.3,2.06,2025-04-15T02:38:15,1
KZT,Australia,51.74,243.84,12.3,2.06,2025-04-15T02:38:15,2
EDV5530,United States,106.29,1874.52,12.3,2.06,2025-04-15T02:38:15,1
SWA3354,United States,3.09,0.0,12.3,2.06,2025-04-15T02:38:09,2
JMU,Australia,74.37,1104.9,12.3,2.06,2025-04-15T02:36:50,2
BYF4,United States,36.88,1402.08,12.3,2.06,2025-04-15T02:38:14,2
ANA469,Japan,212.48,12169.14,12.3,2.06,2025-04-15T02:38:16,0
PDT5777,United States,233.05,7559.04,12.3,2.06,2025-04-15T02:38:16,0
IGO5102,India,192.76,5524.5,12.3,2.06,2025-04-15T02:38:14,1
BALL16,United States,101.29,922.02,12.3,2.06,2025-04-15T02:38:13,1
IGO578N,India,0.0,0.0,12.3,2.06,2025-04-15T02:38:12,2
DAL1220,United States,69.11,350.52,12.3,2.06,2025-04-15T02:33:48,2
HOOK45,United States,111.59,4541.52,12.3,2.06,2025-04-15T02:38:16,1
IGO6092,India,107.01,2133.6,12.3,2.06,2025-04-15T02:38:15,1
CEB483,Philippines,146.91,1912.62,12.3,2.06,2025-04-15T02:38:15,1
N327YH,United States,256.68,10988.04,12.3,2.06,2025-04-15T02:38:16,0
VOI1841,Mexico,185.67,11582.4,12.3,2.06,2025-04-15T02:38:16,1
ANZ547,New Zealand,232.81,10965.18,12.3,2.06,2025-04-15T02:38:15,0
IGO1601,India,244.82,10058.4,12.3,2.06,2025-04-15T02:38:14,0
AIC2705,India,199.45,4770.12,12.3,2.06,2025-04-15T02:38:14,1
JAL913,Japan,5.66,0.0,12.3,2.06,2025-04-15T02:38:11,2
CHH7373,China,224.52,10698.48,12.3,2.06,2025-04-15T02:38:15,0
BALL12,United States,99.45,2979.42,12.3,2.06,2025-04-15T02:38:15,2
CGBTF,United States,75.49,1318.26,12.3,2.06,2025-04-15T02:38:16,2
FDX1297,United States,0.0,0.0,12.3,2.06,2025-04-15T02:38:08,2
AKJ130V,India,209.13,6370.32,12.3,2.06,2025-04-15T02:38:15,0
GOLEM12,United States,105.06,3604.26,12.3,2.06,2025-04-15T02:38:15,1
DAL1690,United States,247.31,9441.18,12.3,2.06,2025-04-15T02:38:04,0
ARG1046,Argentina,0.0,0.0,12.3,2.06,2025-04-15T02:38:13,2
PAL891,Philippines,227.76,10363.2,12.3,2.06,2025-04-15T02:37:24,0
SFJ77,Japan,1.54,0.0,12.3,2.06,2025-04-15T02:38:03,2
PAL407,Philippines,214.28,10363.2,12.3,2.06,2025-04-15T02:33:57,0
UAL2410,United States,50.07,1203.96,12.3,2.06,2025-04-15T02:34:58,2
PAL502,Philippines,9.77,0.0,12.3,2.06,2025-04-15T02:35:02,2
AAL577,United States,131.2,1188.72,12.3,2.06,2025-04-15T02:38:15,1
GIA820,Indonesia,231.2,10363.2,12.3,2.06,2025-04-15T02:38:16,0
AAL1246,United States,219.53,11277.6,12.3,2.06,2025-04-15T02:38:15,0
ROU1522,Canada,264.97,8839.2,12.3,2.06,2025-04-15T02:38:16,0
N277J,United States,56.83,2575.56,12.3,2.06,2025-04-15T02:38:15,2
SWA4207,United States,212.84,12192.0,12.3,2.06,2025-04-15T02:38:15,0
SWA4252,United States,188.67,6400.8,12.3,2.06,2025-04-15T02:38:16,1
SWA2169,United States,201.28,11582.4,12.3,2.06,2025-04-15T02:38:16,0
AAY968,United States,142.22,3307.08,12.3,2.06,2025-04-15T02:38:15,1
FDX1235,United States,195.27,11590.02,12.3,2.06,2025-04-15T02:38:16,1
IGO732,India,78.58,830.58,12.3,2.06,2025-04-15T02:35:25,2
N459MT,United States,69.37,1196.34,12.3,2.06,2025-04-15T02:38:15,2
IGO17PW,India,262.16,10675.62,12.3,2.06,2025-04-15T02:38:15,0
TAM4610,Brazil,152.86,3169.92,12.3,2.06,2025-04-15T02:38:14,1
TAM3182,Brazil,238.21,11277.6,12.3,2.06,2025-04-15T02:38:02,0
FFT3375,United States,206.3,10698.48,12.3,2.06,2025-04-15T02:38:14,0
AAL1850,United States,205.96,10363.2,12.3,2.06,2025-04-15T02:38:15,0
SWA2199,United States,69.86,495.3,12.3,2.06,2025-04-15T02:33:02,2
DEVIL20,United States,141.17,4907.28,12.3,2.06,2025-04-15T02:38:16,1
AZU4949,Brazil,247.64,10728.96,12.3,2.06,2025-04-15T02:38:16,0
AIC2525,India,245.05,10668.0,12.3,2.06,2025-04-15T02:38:16,0
HT731,Australia,1.8,0.0,12.3,2.06,2025-04-15T02:37:21,2
N255EP,United States,64.28,1463.04,12.3,2.06,2025-04-15T02:38:03,2
ROU1648,Canada,227.39,11582.4,12.3,2.06,2025-04-15T02:38:16,0
PE509,Australia,138.04,4000.5,12.3,2.06,2025-04-15T02:38:15,1
CTV912,Indonesia,236.26,10370.82,12.3,2.06,2025-04-15T02:38:13,0
ENY3811,United States,176.62,5791.2,12.3,2.06,2025-04-15T02:38:15,1
VOZ556,Australia,204.9,5509.26,12.3,2.06,2025-04-15T02:38:15,0
